region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 2,13,44,Married,9,64,College degree,5,No,Male,2,No,No,Yes,No,4,0,0,8,0,37,0,0,110,0,No,No,No,No,No,No,Yes,No,No,1.31,,,2.01,,4.16,Basic service,Yes
Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4,21,0,15,36,42,211,0,125,380,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.48,3.03,,2.72,3.58,4.91,Total service,Yes
Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18,18,0,30,0,1301,1247,0,2150,0,No,No,No,No,Yes,Yes,No,Yes,No,2.90,2.89,,3.41,,4.75,Plus service,No
Zone 2,33,33,Unmarried,12,33,High school degree,0,No,Female,1,No,No,No,No,9,0,0,0,0,289,0,0,0,0,No,No,No,No,No,No,No,No,No,2.25,,,,,3.50,Basic service,Yes
Zone 2,23,30,Married,9,30,Did not complete high school,2,No,Male,4,No,No,No,No,6,0,0,0,0,157,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,1.84,,,,,3.40,Plus service,No
Zone 2,41,39,Unmarried,17,78,High school degree,16,No,Female,1,Yes,No,Yes,No,12,19,0,14,0,487,798,0,570,0,No,No,No,No,Yes,Yes,No,No,No,2.47,2.96,,2.60,,4.36,Plus service,No
Zone 3,45,22,Married,2,19,High school degree,4,No,Female,5,No,No,Yes,No,11,0,0,9,0,505,0,0,415,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.39,,,2.17,,2.94,E-service,Yes
Zone 2,38,35,Unmarried,5,76,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6,45,50,23,65,240,1873,1821,880,2257,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.80,3.81,3.91,3.15,4.17,4.33,Total service,No
Zone 3,45,59,Married,7,166,College degree,31,No,Male,5,Yes,No,Yes,No,10,29,0,12,0,449,1240,0,505,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.28,3.35,,2.48,,5.11,Plus service,No
Zone 1,68,41,Married,21,72,Did not complete high school,22,No,Male,3,No,No,Yes,No,24,0,0,17,0,1660,0,0,1155,0,Yes,No,No,No,No,No,No,No,No,3.18,,,2.80,,4.28,E-service,No
Zone 2,5,33,Unmarried,10,125,College degree,5,No,Female,1,No,Yes,No,No,5,0,26,0,0,17,0,110,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.58,,3.26,,,4.83,Basic service,Yes
Zone 3,7,35,Unmarried,14,80,High school degree,15,No,Female,1,Yes,No,Yes,No,7,22,0,24,0,47,166,0,145,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.96,3.09,,3.17,,4.38,Plus service,No
Zone 1,41,38,Married,8,37,High school degree,9,No,Female,3,No,No,Yes,No,9,0,0,42,0,309,0,0,1650,0,No,No,No,No,No,No,No,No,No,2.15,,,3.73,,3.61,Basic service,No
Zone 2,57,54,Married,30,115,College degree,23,No,Female,3,Yes,Yes,No,Yes,16,46,47,0,61,825,2624,2591,0,3349,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.75,3.83,3.84,,4.11,4.74,Total service,Yes
Zone 2,9,46,Unmarried,3,25,Did not complete high school,8,No,Female,2,No,No,No,No,4,0,0,0,0,37,0,0,0,0,No,No,No,No,No,No,No,No,No,1.48,,,,,3.22,Basic service,No
Zone 1,29,38,Married,12,75,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5,0,30,11,0,146,0,781,295,0,Yes,No,No,Yes,No,No,No,No,No,1.63,,3.41,2.42,,4.32,E-service,No
Zone 3,60,57,Unmarried,38,162,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16,30,31,30,0,947,1768,1789,1795,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.78,3.39,3.44,3.40,,5.09,Plus service,No
Zone 3,34,48,Unmarried,3,49,High school degree,6,No,Female,3,Yes,No,No,No,7,19,0,0,0,231,614,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.89,2.92,,,,3.89,Plus service,No
Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,No,No,No,0.05,,,,,3.00,Basic service,No
Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,7,0,48,24,38,141,0,1133,610,910,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.90,,3.87,3.19,3.65,4.34,Total service,Yes
Zone 3,6,30,Unmarried,7,16,Some college,1,No,Female,1,No,Yes,No,Yes,4,0,34,0,19,26,0,175,0,78,Yes,No,Yes,Yes,No,Yes,No,No,No,1.32,,3.52,,2.93,2.77,E-service,Yes
Zone 1,68,52,Married,17,120,Did not complete high school,24,No,Male,2,No,No,Yes,No,21,0,0,22,0,1391,0,0,1505,0,No,No,No,No,No,No,Yes,No,No,3.03,,,3.09,,4.79,Basic service,No
Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5,0,50,27,51,253,0,2500,1340,2645,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.67,,3.90,3.29,3.94,4.62,Total service,No
Zone 3,55,48,Married,19,67,Did not complete high school,25,No,Male,3,No,No,Yes,No,15,0,0,27,0,810,0,0,1390,0,No,No,No,No,No,No,No,No,No,2.71,,,3.31,,4.20,Basic service,No
